t q1 q2 q3 p1 p2 p3 Phi11 Phi12 Phi13 Phi14 Phi15 Phi16 Phi21 Phi22 Phi23 Phi24 Phi25 Phi26 Phi31 Phi32 Phi33 Phi34 Phi35 Phi36 Phi41 Phi42 Phi43 Phi44 Phi45 Phi46 Phi51 Phi52 Phi53 Phi54 Phi55 Phi56 Phi61 Phi62 Phi63 Phi64 Phi65 Phi66
0.0 -1.0024892130936154 -1.2103556700460911e-20 0.004896279118068242 5.025645990383589e-16 -0.9971605307692885 -8.280588715955267e-15 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
0.017630520206107215 -1.002488276315242 9.393088284220202e-5 0.004894650873367959 1.2330373148623724e-5 -0.9971624116171427 -0.00018470697731320292 1.0000846594825694 -0.01763187125958493 -0.00021838651212712282 0.027235699465694492 -0.00014528737915605588 -0.024778218908430683 0.017625712598730824 0.9995120871428231 1.4351743942905381e-6 -0.0003301421952615141 -0.03771692893938727 0.0002442086284729878 -0.00021832726667175625 5.285055734586164e-6 1.0000924859115121 -0.024770061523985806 0.0006810111573748005 0.010493150932585857 0.01762919102976687 -0.00031082666336382296 -1.2835249576576515e-6 1.0000846577712075 -0.017629903321374627 -0.00021844216345649496 0.0003108020366513232 0.017625826057432185 1.2652735283034818e-8 0.017627680376079657 0.9995120797277086 2.870792118180428e-6 -1.2831024051409094e-6 3.5278915211547276e-8 0.017631063730448947 -0.00021835759876519007 6.72143149766012e-6 1.000092495044435
0.03575379070932966 -1.0024853612608693 0.00019038248533743366 0.004889582897466469 2.5027154256539396e-5 -0.9971682676746513 -0.0003745696396087921 1.0003481782230155 -0.035765070603309156 -0.00089864256827588 0.05524221671000405 -0.0005991723097933232 -0.05030620175134558 0.035713695931338406 0.997994100776209 1.1969513695907933e-5 -0.0013582584460023464 -0.07644232231464716 0.0010043301091213258 -0.0008976401278659917 4.4086134462806955e-5 1.000380533926751 -0.05023810863512592 0.002802115824109739 0.021299561549520687 0.03574270595200836 -0.0012781886404026885 -1.071347246982934e-5 1.000348149278842 -0.03574867799073915 -0.0008995847852274032 0.0012777718309271507 0.03571464829374941 2.1406820041185685e-7 0.035730083044888346 0.9979939757475014 2.3954244944527482e-5 -1.0698971615037046e-5 5.969044258985584e-7 0.03575832586542234 -0.000898153250062487 5.609689296267857e-5 1.0003806883482953
0.057653610588322024 -1.0024792015768944 0.00030663864161911784 0.004878867846419235 4.043093667246215e-5 -0.9971806581585 -0.0006039776702541232 1.0009053892622743 -0.05770101242780069 -0.002339478219358095 0.08911178533797026 -0.0015671754841121827 -0.08131530132935572 0.05748550754061326 0.9947879720987279 5.018705404850751e-5 -0.00353464289295487 -0.12310876809775183 0.002611491073145791 -0.002332694809724407 0.0001849218410909713 1.0009904526998956 -0.08102926348699169 0.007293854333988736 0.03441425566525055 0.05760713959275108 -0.0033229618695560592 -4.4998144912826366e-5 1.0009051935742246 -0.05763245974553383 -0.0023458625537508735 0.0033201396066183894 0.05748955490542693 1.4483246609854147e-6 0.05755400069700838 0.9947871322939892 0.00010054028553304398 -4.4839874982512845e-5 4.038917441180297e-6 0.05767264472658999 -0.0023361656140775964 0.0002355594578374413 1.0009914960904656
0.08367855175441094 -1.0024681385755718 0.0004441253671286681 0.004859602320309775 5.887483465459714e-5 -0.9972029677656037 -0.000876556914649309 1.0019074508053218 -0.08382407023813487 -0.004938971525188018 0.12942229879112738 -0.003336469043773437 -0.11853434635379835 0.0831646348104722 0.9890346709937373 0.00015344688754739995 -0.007456907861379331 -0.17827323888322175 0.005501352966396036 -0.004908822824833777 0.0005658012076523145 1.0020901939627231 -0.11765686106499025 0.015394593940632924 0.05012820524978453 0.08353650131946247 -0.006997787215943978 -0.00013800968551005288 1.0019065824420998 -0.08361546897748402 -0.004967414307149471 0.006985229627656903 0.08317730845673538 6.435024269492039e-6 0.08337285766924955 0.9890309886779073 0.00030796722084847625 -0.000136988260931511 1.794872005485761e-5 0.08373685127134915 -0.004924237205247974 0.0007221604928663278 1.0020948186422727
0.11975600535248827 -1.0024461119366468 0.0006329481923356056 0.004821163587321973 8.480825747026348e-5 -0.9972476031487932 -0.001254321083586863 1.0039074811594695 -0.12018602953476361 -0.010159883027395032 0.18546451151695706 -0.0069792274394677774 -0.171119086681569 0.11824991066430497 0.9775990288357677 0.00044979452801061055 -0.015317979015466833 -0.25396980714787415 0.01126799295120742 -0.01003301752618354 0.0016609026879640327 1.0042964597621071 -0.1685296917037303 0.03165345988214652 0.07225786941120847 0.11933981539228922 -0.014323598914763223 -0.00040706386308094145 1.0039038381796836 -0.11958050459006563 -0.010280142723000008 0.014270637069338022 0.11828881833248787 2.7061545270142173e-5 0.11885322477671778 0.9775839585383153 0.000906071472644398 -0.00040090693755411217 7.551045445808144e-5 0.11992749870366536 -0.010097784052647156 0.0021283083992200613 1.004315811798514
0.1557714302026042 -1.0024164337260857 0.000818620257174827 0.004769199920667016 0.00011127484252852009 -0.9973082094350355 -0.0016312857617642965 1.006612492256334 -0.15672831428257974 -0.01729146786234497 0.24166518401102333 -0.01214895655078968 -0.22522236551336475 0.15245780167831957 0.962231853240358 0.0009899063802140103 -0.026020498574121583 -0.32829361210861724 0.019065173389705335 -0.016926770841036567 0.0036625488857368266 1.007304853459976 -0.21947165105660751 0.0538422249749144 0.09491284559863655 0.15485605239527905 -0.024214241247764157 -0.0009034448108285117 1.0066020604742727 -0.15541384409756148 -0.017639424023098472 0.024061521203372363 0.15254870676270516 7.772693008034874e-5 0.15376435619628415 0.9621902043462556 0.002004142679299324 -0.0008803940409947157 0.0002170022100935084 0.15615064795561337 -0.017112574459937847 0.004718676024600316 1.00736004722073
0.19560566229716497 -1.0023747741097653 0.0010196570991613475 0.004695917979680571 0.00014141866920944766 -0.997394213564818 -0.0020480241656937494 1.010428962462894 -0.1975303506728655 -0.027495228997603642 0.30420864093135797 -0.019938940101239484 -0.2875924904718752 0.18904694253286314 0.9407411590593218 0.0019601332922855146 -0.041263118902180415 -0.4085887174812125 0.03006376128338476 -0.02658299496583063 0.007273067447682238 1.0115988516435308 -0.27605758818686543 0.08555872801668385 0.1208573010848694 0.19379462605879286 -0.038138705450429314 -0.0018104220159781406 1.0104029994870194 -0.19498023866879519 -0.028373635059315637 0.03775499868404489 0.18924187013900196 0.0001941876159099852 0.1915737933314982 0.940642994879398 0.003997092365455072 -0.0017378912225103238 0.0005425796724353994 0.19636159505894002 -0.02704640819550173 0.009442864979161811 1.0117352922178258
0.2378106811091296 -1.0023206872714905 0.0012264455184766805 0.004600167344291341 0.00017458323814833235 -0.9975075654673258 -0.0024893462679144557 1.0154167973893025 -0.24134191655879036 -0.041091831342606126 0.3710134184861634 -0.031048814989527062 -0.3574501932376184 0.2260303096621196 0.9129823115586142 0.003522464339497376 -0.06144719933130621 -0.490899875473972 0.04443815089401092 -0.039082994952002466 0.01312075238517566 1.0173022826827738 -0.33636573234541106 0.1277891493165051 0.14967218055462783 0.23455947549379685 -0.05629340031006538 -0.0033049544014331386 1.0153599475370743 -0.23688952679134628 -0.04304977924502325 0.0554433986736338 0.22641626353265273 0.0004269435880495765 0.23042625704924047 0.912783896893918 0.007252043725655682 -0.0031103181105045946 0.001194245646397493 0.23918102271520042 -0.04009957122717582 0.017210513412581865 1.0175977707693955
0.2815143590588213 -1.0022541455692011 0.0014323668604716007 0.004481391037893143 0.0002105016781945891 -0.9976497955932572 -0.002946161143810303 1.0216020665134768 -0.2875273363824394 -0.05838712854696016 0.44087886875740623 -0.046409022081006 -0.4350258077139798 0.2619837131022219 0.879057717369483 0.00584336181497923 -0.08691668358046244 -0.5724500245941376 0.06227239560556027 -0.05440281462666795 0.021875198466091546 1.0245281257119594 -0.3992941039949713 0.1815065320770353 0.18135267349974876 0.2761271304225339 -0.0787588412910756 -0.005591453636340525 1.0214899305393892 -0.2804278378419729 -0.06233002374911705 0.07706008256961497 0.2626990167649235 0.0008451173402016052 0.26896857987904865 0.8787093310599982 0.012177237155540883 -0.005133130845116156 0.0023674346161833616 0.2838122206390969 -0.05640935596410477 0.02906849003669118 1.02510092757012
